Name,Affiliation,Google Scholar Profile,ORCID Profile,Research Gate Profile,Research Interests/Focus,Taxonomy Tags
Rong Zhao,CUNY--Hunter College,https://scholar.google.com/citations?user=6NR8OWkAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0003-1546-1312,https://www.researchgate.net/profile/Rong-Zhao-6,"Workforce and Employee Compensation of Human Service Organizations, Gender Dynamics in the Nonprofit Sector, Financial Sustainability of Human Service Organizations, Government and Nonprofit Collaboration in Service Delivery, Gender and Volunteerism","Labor and employment, Organizations, Systems, Gender studies, Gender and sexuality, Nonprofit, Economic issues"
Binta Alleyne-Green,Fordham University,https://scholar.google.com/citations?user=WwCDVwgAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0001-7740-2452,https://www.researchgate.net/profile/Binta-Alleyne-Green,"Impact of dating/relationship violence, Intersection of violence and HIV risk behaviors among inner-city minority adolescent females","Domestic violence, Violence, HIV or AIDS, Risk Behavior, Urban issues, Adolescent Behavior"
Sameena V. Azhar,Fordham University,https://scholar.google.com/citations?user=hiL-V6cAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-2249-8976,https://www.researchgate.net/profile/Sameena-Azhar-2,"HIV, Gender and Sexuality; Health Equity; Substance Abuse Treatment; International Social Work; Public Health Social Work; Grief and Bereavement; Criminal Justice and Mental Health; Postcolonial Studies; Sexual Trauma Treatment","HIV or AIDS, Gender and sexuality, Health, Disparities, Substance use, International issues, Public health, Grief and loss, Criminal justice, Mental and behavioral health, Trauma, Sexual Violence"
Fuhua Zhai,Fordham University,https://scholar.google.com/citations?hl=en&user=waCjzqAAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Fuhua-Zhai,"Early childhood education and developmental outcomes
Impacts of early interventions and school environment
Child maltreatment and child welfare
Cultural values, child rearing practices, and child wellbeing
Cross-national studies on child and family policies
Experimental and statistical research methods","Children and adolescents, Education, Human development, Adverse childhood experiences (ACEs), Child welfare, Culture, Families and Family Dynamics, International issues, Policy, Research methods"
Derek Tice-Brown,Fordham University,,https://orcid.org/0000-0002-7192-7431,https://www.researchgate.net/profile/Derek-Brown-4,"Oppression and Resilience
Oppression and Health
Complementary Health Approaches
HIV/AIDS
LGBTQ+ Health","Oppressed groups, Resilience, Health, Disparities, HIV or AIDS, LGBTQIA2S+"
Rahbel Rahman,Fordham University,https://scholar.google.com/citations?user=wfzhhP8AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0003-1065-7084,https://www.researchgate.net/profile/Rahbel-Rahman,"• Integration of health and welfare services
• Inter-professional and Interagency Collaboration
• Professional development of community based providers (peer educators, outreach workers, community health workers, syringe exchange workers)
• Community based participatory research
• International Social Work","Health, Healthcare, Welfare, Community based, International issues"
Rose Perez,Fordham University,https://scholar.google.com/citations?hl=en&user=TqUZ78cAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Rose-Perez-3,"Immigration
Acculturation and emotional well-being
Adolescents and families
Hispanics","Immigration, Culture, Wellbeing, Mental and behavioral health, Children and adolescents, Families and Family Dynamics, Latinx"
Winnie W. Kung,Fordham University,https://scholar.google.com/citations?hl=en&user=nzTqBbYAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-7083-7162,https://www.researchgate.net/profile/Winnie-Kung-3,"Mental health issues in relation to minorities especially Asian Americans, including service use, recognition of mental health symptoms and stigma

Cultural and racial considerations and adaptations in mental health service provisions to minority groups

Family psychoeducation for Asian families with serious mental illnesses

PTSD and other mental health issues among Asian Americans in relation to the World Trade Center attack

Social work education in China under different systems and developmental context","Mental and behavioral health, Race and ethnicity, Asian Americans and Pacific Islander (AAPI), Culture, Families and Family Dynamics, Post Traumatic Stress Disorder (PTSD), Social Work education, International issues"
G. Lawrence Farmer,Fordham University,https://scholar.google.com/citations?hl=en&user=RP9KdVsAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-7529-8583,https://www.researchgate.net/profile/Gregory-Farmer,"Positive Youth Development
School Social Work Practice
Social and Emotional Development 
Measurement","Human development, Children and adolescents, Adolescent Behavior, School Social Work"
Chris Curtis,Fordham University,https://scholar.google.com/citations?hl=en&user=KTZ-2HwAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-3154-5623,https://www.researchgate.net/profile/Christopher-A-Curtis,"Adolescent Mental Health
School Social Work","Children and adolescents, Adolescent Behavior, Mental and behavioral health, School Social Work"
Keith A. Alford,University at Buffalo--SUNY,https://scholar.google.com/citations?user=b0jUNxMAAAAJ&hl=en&inst=1297495080519272923&oi=ao,,https://www.researchgate.net/profile/Keith-A-Alford,Culturally specific service delivery for special populations; the exploration of helping approaches in family mental health; rites of passage programming for adolescent African American males; kinship care and child welfare interventions.,"Cultural competence, Families and Family Dynamics, Mental and behavioral health, Black or African American, Child welfare"
Laina Y. Bay-Cheng,University at Buffalo--SUNY,https://scholar.google.com/citations?user=PDO9veMAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0002-8965-4398,https://www.researchgate.net/publication/365600344_Picturing_Sexual_Agency_A_Visual_Content_Analysis_of_Adults%27_Sexual_Stereotypes_of_Young_Women,"Impact of interlocked misogyny, racism, and economic injustice on young women's sexual lives; age-based power and obstructions to youth sexual rights; critical sexuality and feminist theory and methods.","Gender studies, Social justice, Economic issues, Sexual or Reproductive Health, Human rights, Gender and sexuality"
Isok Kim,University at Buffalo--SUNY,https://scholar.google.com/citations?hl=en&user=_3-fC2IAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-1708-7221,https://www.researchgate.net/profile/Isok-Kim,Immigrants and refugees; refugee-related trauma; post-resettlement challenges; cultural competence/humility in interprofessional education; community-based participatory research,"Immigration, Refugees, Trauma, Cultural competence, Community based"
Wooksoo Kim,University at Buffalo--SUNY,https://scholar.google.com/citations?hl=en&user=9bvRMfMAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-7328-3473,https://www.researchgate.net/profile/Wooksoo-Kim,"Asian immigrants, Asian immigrant elders, and their mental health, alcohol use and gambling; immigration and acculturation; community-based research","Asian Americans and Pacific Islander (AAPI), Immigration, Aging, Mental and behavioral health, Substance use, Addiction, Culture, Community based"
Nadine Shaanta Murshid,University at Buffalo--SUNY,https://scholar.google.com/citations?hl=en&user=mW4y2jIAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-2387-9372,https://www.researchgate.net/profile/Nadine-Murshid,Microfinance; domestic violence; genocide; political violence; trauma; social movements,"Economic issues, Domestic violence, Violence, Trauma"
Yunju Nam,University at Buffalo--SUNY,https://scholar.google.com/citations?hl=en&user=hP4FFfIAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-8280-8414,https://www.researchgate.net/profile/Yunju-Nam-4,Social welfare policy; poverty and economic inequality; asset-building policies and programs; elderly immigrants; economic integration among immigrants and refugees,"Welfare, Policy, Poverty, Economic issues, Disparities, Aging, Immigration, Refugees"
Kelly Patterson,University at Buffalo--SUNY,https://scholar.google.com/citations?hl=en&user=-KWH5y0AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-5520-4412,https://www.researchgate.net/profile/Kelly-Patterson-3,"Housing policy, fair housing advocacy, subsidized housing, residential segregation and poverty, spatial issues and social service access/delivery, community-based housing organizations","Homelessness, Policy, Poverty, Community based"
Maria Y. Rodriguez,University at Buffalo--SUNY,https://scholar.google.com/citations?hl=en&user=EqsjbTQAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-1401-2099,https://www.researchgate.net/profile/Maria-Rodriguez-251,"ethical implications of algorithmic decision-making in human services, child welfare; lived experience of marginalized communities as described on social media;  computational research methods","Ethics, Child welfare, Oppressed groups, Technology, Research methods"
Christopher St. Vil,University at Buffalo--SUNY,https://scholar.google.com/citations?hl=en&user=z7Hoax8AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-3501-2530,https://www.researchgate.net/profile/Christopher-St-Vil,Gender; trauma; violence; victimization; substance abuse,"Gender and sexuality, Trauma, Violence, Substance use"
Noelle M. St. Vil,University at Buffalo--SUNY,https://scholar.google.com/citations?hl=en&user=mUBUPxYAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Noelle-Stvil,Interpersonal violence; black male-female relationships; man-sharing,"Violence, Domestic violence, Black or African American, Families and Family Dynamics"
Creasie Finney Hairston,University of Illinois--Chicago,,,,"Impact of incarceration and community reentry on families and children
Social welfare policies and services for aging populations","Incarceration, Families and Family Dynamics, Children and adolescents, Welfare, Policy, Aging"
Henrika McCoy,University of Illinois--Chicago,https://scholar.google.com/citations?user=937zetQAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0003-0937-8352,https://www.researchgate.net/profile/Henrika-Mccoy,"African American males
Mental health disorders
Children, adolescents, emerging adults
Cross-system youth","Black or African American, Mental and behavioral health, Children and adolescents, Systems"
Chang-ming Hsieh,University of Illinois--Chicago,https://scholar.google.com/citations?hl=en&user=nfvGFCkAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Chang-Ming-Hsieh,"Quality of life, subjective well-being, life satisfaction,
client satisfaction of social services for older adults",
Shih-Ying Cheng,University of Illinois--Chicago,https://scholar.google.com/citations?hl=en&user=QAOA0BsAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-8403-7016,https://www.researchgate.net/profile/Shih-Ying-Cheng,"Gender-based violence
Evidence-based practice
Recent immigrants","Gender based violence, Evidence based practice, Immigration"
Otima Doyle,University of Illinois--Chicago,,https://orcid.org/0000-0002-7694-4548,https://www.researchgate.net/profile/Otima-Doyle,"Familial risk and protective factors related to emotional and behavioral problems among culturally diverse, underserved youth
The role of fathers and co-parenting in the prevention of youth aggression, depression and suicide
The development and evaluation of prevention interventions with fathers and children","Families and Family Dynamics, Risk and protective factors, Mental and behavioral health, Culture, Children and adolescents,  Self harm and suicide, Vulnerable populations"
Walter Gómez,University of Illinois--Chicago,,https://orcid.org/0000-0002-0217-7892,https://www.researchgate.net/profile/Walter-Gomez-5,"Substance use interventions for sexual minority men
Structural, social, and cultural barriers to HIV prevention interventions
Aging with HIV
Social and sexual networks
Social capital and social movements
Qualitative and mixed methods in social welfare
Syndemics, intersectionality, and stress and coping theories and frameworks","Substance use, LGBTQIA2S+, Systems, Treatment barriers, Culture, HIV or AIDS, Aging, Research methods, Intersectionality, Stress and coping, Theory"
Charles E. Hounmenou,University of Illinois--Chicago,https://scholar.google.com/citations?user=FegD29IAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0001-8570-5488,https://www.researchgate.net/profile/Charles-Hounmenou-2,"Human trafficking
Commercial sexual exploitation of children
Human rights of detainees and immigrants","Human trafficking, Sexual Violence, Children and adolescents, Human rights, Immigration"
Annette Johnson,University of Illinois--Chicago,,,https://www.researchgate.net/profile/Annette-Johnson-8/research,"Children’s Mental Health
Social and Emotional Learning
Clinical Practice in Schools","Children and adolescents, Mental and behavioral health, Clinical Social Work, School Social Work"
Branden A. McLeod,University of Illinois--Chicago,https://scholar.google.com/citations?user=p5Xqr44AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0001-5445-3345,https://www.researchgate.net/profile/Branden-Mcleod-2,"Fatherhood among Black fathers and families
Reentry into society from incarceration
Criminal justice reform","Families and Family Dynamics, Black or African American, Incarceration, Criminal justice"
Michelle-Ann Rhoden Neita (published as Michelle-Ann Rhoden),University of Illinois--Chicago,https://socialwork.uic.edu/profiles/rhoden-neita-michelle-ann/,,https://www.researchgate.net/profile/Michelle-Ann-Rhoden-Neita,"Educational and health outcomes of youth involved in the child welfare and justice systems
Trauma-informed care for youth and young adults with adverse childhood experiences
Biomarkers for psychological trauma
Community reintegration programs in faith-based settings","Children and adolescents, Child welfare, Juvenile justice, Criminal justice, Education, Trauma informed practice, Adverse childhood experiences (ACEs), Trauma, Community Engagement, Faith and spirituality"
Cleopatra Abdou,University of Southern California,https://scholar.google.com/citations?hl=en&user=-QragikAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-0353-4422,https://www.researchgate.net/profile/Cleoptra-Abdou,"What factors allow individuals, families, communities, and societies to be positive outliers; that is, to be healthy, happy, and successful against the odds? Health disparities, healthcare","Families and Family Dynamics, Welfare, Health, Disparities, Healthcare"
Devon Brooks,University of Southern California,https://scholar.google.com/citations?hl=en&user=5hNUfsIAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Devon-Brooks,"child maltreatment, with a focus on racial and ethnic disparities in the permanency and mental health outcomes of children and families served by public child welfare agencies; risk assessment; assessment of formal and indigenous service needs and utilization; transracial adoption and racial matching policy; gay and lesbian adoption and foster care placements; family preservation; and child welfare innovations","Adverse childhood experiences (ACEs), Race and ethnicity, Mental and behavioral health, Children and adolescents, Families and Family Dynamics, Child welfare, Indigenous, Welfare, Adoption, LGBTQIA2S+"
Alice Cepeda,University of Southern California,https://scholar.google.com/citations?hl=en&user=dzvDbUQAAAAJ&inst=1297495080519272923,,,"social epidemiology of drug use and the related health risk behaviors that disproportionately affect urban Mexican-origin minority populations, including violence, HIV/STI infection risks and mental health conditions","Social determinants, Substance use, Risk Behavior, Urban issues, Latinx, Violence, HIV or AIDS, Mental and behavioral health"
Iris Chi,University of Southern California,https://scholar.google.com/citations?hl=en&user=PuHTrowAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Iris-Chi,"elderly health and gerontology, and currently directs the China Program","Aging, Health"
Robynn J.A. Cox,University of Southern California,https://scholar.google.com/citations?user=OAiAZ5kAAAAJ&hl=en&inst=1297495080519272923&oi=sra,,https://www.researchgate.net/profile/Robynn-Cox-2,"crime, health, labor, housing, food insecurity, and social and racial inequality","Crime, Health, Labor and employment, Food insecurity, Disparities, Race and ethnicity"
Yuri Jang,University of Southern California,https://scholar.google.com/citations?hl=en&user=5OmRsCcAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-8239-1778,https://www.researchgate.net/profile/Yuri-Jang,"positive adaptation in aging, health disparities, and minority health and service utilization","Aging, Health, Disparities"
B.K. Elizabeth Kim,University of Southern California,https://scholar.google.com/citations?user=K3muQfAAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0001-8851-5073,https://www.researchgate.net/profile/Bo-Kyung-Kim,"Translation Research
Delinquency/Violence
Social Policy
Schools
Children and Families
Social Development
Juvenile Justice
Prevention Science","Violence, Policy, Education, Children and adolescents, Families and Family Dynamics, Juvenile justice"
Jungeun Olivia Lee,University of Southern California,https://scholar.google.com/citations?hl=en&user=BRDXjggAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-3849-0610,,"relationship among SES, adverse childhood experiences, substance use, and its comorbid mental health","Adverse childhood experiences (ACEs), Poverty, Substance use, Mental and behavioral health"
Karen Lincoln,University of Southern California,https://scholar.google.com/citations?hl=en&user=YbH_BzwAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-1891-2035,https://www.researchgate.net/profile/Karen-Lincoln-3,"stress, aging, and mental health disparities","Stress and coping, Aging, Mental and behavioral health, Disparities"
Hans Oh,University of Southern California,https://scholar.google.com/citations?hl=en&user=j3xjUJwAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Hans-Oh-2,social determinants and health correlates of psychotic experiences,"Social determinants, Health, Mental and behavioral health"
Shinyi Wu,University of Southern California,https://scholar.google.com/citations?hl=en&user=Y8z31OEAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-6624-3385,https://www.researchgate.net/profile/Shinyi-Wu,"engineering approach to research that spans many social work applications, from health, behavioral health, mental health, aging, organization and management, to policy analysis and transformation","Health, Mental and behavioral health, Aging, Organizations, Policy"
"JAMIE L. CAGE.

",Virginia Commonwealth University,https://scholar.google.com/citations?user=vJE-nUgAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0001-9824-9813,https://www.researchgate.net/profile/Jamie-Cage,"School Engagement, Educational Attainment, Child Welfare","School Social Work, Education, Child welfare"
NICOLE A. CORLEY,Virginia Commonwealth University,https://scholar.google.com/citations?user=-52coXgAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0003-0881-4722,https://www.researchgate.net/profile/Nicole-Corley,"Black student achievement, Black mother-centered households, Racial socialization practices of Black mothers, Anti-oppressive social work research, practice, and education, The use of arts-based and socially engaged arts in social work","Black or African American, Families and Family Dynamics, Race and ethnicity, Social justice, Social Work practice, Social Work education"
MAURICE GATTIS,Virginia Commonwealth University,https://scholar.google.com/citations?hl=en&user=P9jJmNwAAAAJ&inst=1297495080519272923,,,"health disparities; LGBT populations, homelessness; and adolescent risk behaviors in the Univted States and Canada","Health, Disparities, LGBTQIA2S+, Gender and sexuality, Homelessness, Children and adolescents, Adolescent Behavior, Risk Behavior, International issues"
HYOJIN IM,Virginia Commonwealth University,https://scholar.google.com/citations?user=BcTARXgAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0001-9577-6714,https://www.researchgate.net/profile/Hyojin-Im-3,"Refugee trauma and mental health, community capacity and partnership building for refugee wellness, mental health and psychosocial support (MHPSS) for refugees, culturally responsive trauma-informed care","Refugees, Trauma, Mental and behavioral health, Cultural competence, Trauma informed practice"
KYEONGMO KIM,Virginia Commonwealth University,https://scholar.google.com/citations?user=fHCZfRcAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-8457-8859,https://www.researchgate.net/profile/Kyeongmo-Kim,Aging and mental health; Neighborhoods and health; Mental health service use; End-of-life care; Racial and ethnic health disparities,"Aging, Mental and behavioral health, Health, Public health, Race and ethnicity, Disparities"
Youngmi Kim,Virginia Commonwealth University,,https://orcid.org/0000-0002-2082-4029,,"Poverty and Economic Hardship, Food Insecurity, Adverse Childhood Experiences, Child Well-being, Financial Capability and Inclusive Asset Building Policy and Program","Poverty, Economic issues, Food insecurity, Adverse childhood experiences (ACEs), Children and adolescents, Wellbeing, Policy"
Miriam Kuttikat,Virginia Commonwealth University,https://scholar.google.com/citations?user=dGEMDBwAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0003-1482-2956,https://www.researchgate.net/profile/Miriam-Kuttikat,"Daily life stressors and family conflict that affect the health; and well-being of migrant families ; Social and cultural factors at individual, family and community levels that support migrant family resilience; The interface of acculturation; stress and poverty, racism and discrimination; The design and implementation of evidence based, culturally appropriate family-based health interventions that address; migrant families’ multi-dimensional needs, changes, and complexities overtime.","Families and Family Dynamics, Health, Wellbeing, Immigration, Culture, Resilience, Stress and coping, Poverty, Race and ethnicity, Discrimination, Evidence based practice, Cultural competence"
Sunny H. Shin,Virginia Commonwealth University,https://scholar.google.com/citations?user=OMPmApYAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0002-6777-7004,https://www.researchgate.net/profile/Sunny-Shin,"adolescent and youth development, adverse childhood experiences, child abuse and neglect, child welfare, community-based participatory research, maternal and infant health, mental health, research design and measurements, substance misuse and addictive behaviors, violence against women and children","Children and adolescents, Human development, Adverse childhood experiences (ACEs), Families and Family Dynamics, Child welfare, Community based, Health, Mental and behavioral health, Research methods, Substance use, Addiction, Violence, Gender based violence"
AMY L. AI,Florida State University ,https://scholar.google.com/citations?user=q0vvMHUAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0003-3683-9070,https://www.researchgate.net/profile/Amy-Ai-2,"Cultural Diversity, Gerontology, Health Disparities, Healthcare, Medical Social Work, Mental Health, Mindfulness, Research Methods, Stress and Coping","Culture, Aging, Health, Disparities, Healthcare, Medical Social Work, Mental and behavioral health, Research methods, Stress and coping"
Norman Anderson,Florida State University ,https://scholar.google.com/citations?hl=en&user=a5ZswhkAAAAJ&inst=1297495080519272923,,,health disparities and mind/body health,"Health, Disparities, Mental and behavioral health, Wellbeing"
Eugenia Flores Millender,Florida State University ,https://scholar.google.com/citations?user=_nj_0AUAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0003-3042-9046,https://www.researchgate.net/profile/Eugenia-Millender,"investigate ways to reduce mental health disparities by exploring how socio-cultural stressors and trauma influence transgenerational psychological and co-occurring physical illness through gene-environment interaction among vulnerable, undeserved, and marginalized populations","Mental and behavioral health, Disparities, Social determinants, Culture, Trauma, Health, Vulnerable populations, Oppressed groups"
La Tonya Noël,Florida State University ,https://scholar.google.com/citations?user=R51bl1AAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0003-1752-2983,https://www.researchgate.net/profile/La-Tonya-Noel,"Cultural Diversity, Culturally Competent Practice, Health Disparities, Healthcare, Medical Social Work, Mental Health and Substance Abuse, Race / Ethnicity","Culture, Cultural competence, Social Work practice, Health, Disparities, Healthcare, Medical Social Work, Mental and behavioral health, Substance use, Race and ethnicity"
Marquitta Dorsey,Loyola University Chicago,https://scholar.google.com/citations?user=GRfT3j0AAAAJ&hl=en&inst=1297495080519272923&oi=ao,,https://www.researchgate.net/profile/Marquitta-Dorsey,"Uses Black feminism and intersectionality as a theory to examine the role of antiblack systemic racism on sexual health disparities experienced by economically 
disadvantaged Black/African American adolescent and young adult females as they interact 
within and across health, education, child-welfare and justice systems; Explores 
various protective mechanisms, including the Black father/daughter relationship and other 
nuanced contextual factors as buffers to disparate sexual health outcomes; Uses mixed 
methodologies including grounded theory, thematic analysis, community-based participatory 
action, case study analysis and various regression models ","Black or African American, Gender studies, Intersectionality, Ethnic studies, Theory, Systems, Discrimination, Sexual or Reproductive Health, Disparities, Economic issues, Children and adolescents, Adolescent Behavior"
Rana Hong,Loyola University Chicago,,,https://www.researchgate.net/profile/Rana-Hong,Practice with children and adolescents; Psychological Self-Sufficiency-Youth; play therapy; EMDR,"Social Work practice, Children and adolescents, Mental and behavioral health, Trauma"
Caleb Kim,Loyola University Chicago,,,,"Acculturation process of immigrant youth and family, Vulnerable minority youth violence prevention, Suicide prevention, Global social work education, Culturally competent social work practice","Culture, Immigration, Children and adolescents, Families and Family Dynamics, Vulnerable populations, Violence, Self harm and suicide, Global perspectives, Social Work education, Cultural competence, Social Work practice"
Goutham M. Menon,Loyola University Chicago,https://scholar.google.com/citations?user=ezMJihgAAAAJ&hl=en&inst=1297495080519272923&oi=ao,,https://www.researchgate.net/profile/Goutham-Menon,"Social Work Education, Leadership and Innovation in Higher Education- Focus on Access and Affordability, ICT in Practice and Education, Distance Education, Corporate Social Responsibility and B-Corps","Social Work education, Education, Economic issues"
Abha Rai,Loyola University Chicago,https://scholar.google.com/citations?user=86sLyLUAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0001-6576-7470,https://www.researchgate.net/profile/Abha-Rai,"Immigrant and refugee well-being, Exclusionary immigration policies,  Gender-based violence, Culturally responsive research, International/global social work, Survey development and instrument design","Immigration, Refugees, Wellbeing, Policy, Gender based violence, Cultural competence, International issues, Global perspectives, Research methods"
Shweta Singh,Loyola University Chicago,https://scholar.google.com/citations?hl=en&user=dskyp3cAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Shweta-Singh-126,"Mixed Method Measures for Women’s Identity, Schooling Outcomes and Processes in Globalization, School and Identity Development, Work and Migration and Health outcomes for women, Theoretical Exploration of Women’s Identity in Media and Religious Texts, Corporate and diaspora philanthropy","Gender and sexuality, Identity, Education, Global perspectives, Labor and employment, Health, Theory, Faith and spirituality, Organizations"
Kay Jang,Abilene Christian University,https://scholar.google.com/citations?user=FjJGDmEAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-9312-674X,,"Statistics, evedince-based practice, Korean older adults, knowledge management, xenotransplantation","Evidence based practice, Aging, Asian Americans and Pacific Islander (AAPI)"
Wahiba Abu-Ras,Adelphi University,https://scholar.google.com/citations?hl=en&user=ws7i4PUAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-3648-556X,https://www.researchgate.net/profile/Wahiba-Abu-Ras,"Arab Americans, Muslim communities, PTSD, 9/11, hate crimes, Muslim Americans, military personnel, college students and alcohol use, chaplains, gender discrimination","Muslim and Arab Communities, Post Traumatic Stress Disorder (PTSD), Discrimination, Military and Veterans, Substance use"
Subadra Panchanadeswaran,Adelphi University,https://scholar.google.com/citations?hl=en&user=EHSnE8MAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-0687-6498,https://www.researchgate.net/profile/Subadra-Panchanadeswaran,"Violence, HIV/AIDS, substance use, IPV, sex work","Violence, HIV or AIDS, Substance use, Domestic violence, Sex Work"
Katina Lang-Lindsey,Alabama AandM University,,,https://www.researchgate.net/profile/Katina-Lang-Lindsey,"Transplants, behavioral intervention, health disparities, chronic renal insufficiency, per intervention, disease management education","Health, Disparities, Health literacy"
Chie Noyori-Corbett,University of Oklahoma ,https://www.ou.edu/cas/socialwork/faculty-staff/faculty-contact/chie-noyori-corbett,https://orcid.org/0000-0003-1754-4824,https://www.researchgate.net/profile/Chie-Noyori-Corbett,"Women in distress and transition: Survival migration, livelihood, advocacy network, humanitarian innovation, female juvenile delinquency","Immigration, Adolescent Behavior"
Jennifer Jettner,Auburn University,https://www.cla.auburn.edu/directory/jennifer-jettner/,https://orcid.org/0000-0001-5378-8418,https://www.researchgate.net/profile/Jennifer-Jettner-3,"food security, food justice, race and privilege","Food insecurity, Social justice, Race and ethnicity"
Anupama Jacob,Azusa Pacific University,https://scholar.google.com/citations?user=_pCgOH4AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-1384-3651,https://www.researchgate.net/profile/Anupama-Jacob,"Poverty, trauma-informed care, homeless families, school social workers, criminal justice, low-income families, social work education","Poverty, Trauma, Trauma informed practice, School Social Work, Criminal justice, Social Work education"
Regina Chow Trammel,Azusa Pacific University,https://scholar.google.com/citations?user=pq8250MAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0001-6241-2922,https://www.researchgate.net/profile/Regina-Trammel,"christian mildfulness, religiously oriented social workers",Faith and spirituality
Carol Leung,Azusa Pacific University,https://scholar.google.com/citations?hl=en&user=zhpjNcsAAAAJ&inst=1297495080519272923,,,"mental health interventions, multicultural competencies, and translinguistic skills in clinical practice","Mental and behavioral health, Culture, Cultural competence, Clinical Social Work"
Camille Huggins,Walden University,https://sta.uwi.edu/fss/behaviouralsciences/staff/camille-huggins,https://orcid.org/0000-0002-8601-6331,https://www.researchgate.net/profile/Camille-Huggins,"Social exclusion, multiculturalism, older adults, migrants, death and grief","Culture, Aging, Immigration, Death and dying"
Janella Melius,Walden University,,,https://www.researchgate.net/profile/Janella-Melius,"social determinant, obesity, Latino and African Ancestry, Caribbean Americans","Social determinants, Latinx, Black or African American, Black Indigenous People of Color (BIPOC)"
Savitri Dixon-Saxon,Walden University,,,https://www.researchgate.net/profile/Savitri-Dixon-Saxon,psychosocial identity of African American women; intergenerational workplace dynamics; and leadership and mentoring in distance education,"Identity, Black or African American, Labor and employment, Work environment"
Felicia Tuggle,Walden University,https://scholar.google.com/citations?hl=en&user=yXD403wAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-0229-3949,,"adolescents, HBCUs, community partnerships, international social work","Children and adolescents, Education, Community Engagement, International issues"
Krista Cooper,Walden University,https://scholar.google.com/citations?user=0-_88AgAAAAJ&hl=en&inst=1297495080519272923&oi=ao,,https://www.researchgate.net/profile/Krista-Kamstra-Cooper,"Immigrant health, sexual and reproductive health, intimate partner violence, immigration policy","Immigration, Health, Sexual or Reproductive Health, Domestic violence, Policy "
Andre P. Stevenson,Walden University,https://scholar.google.com/citations?user=SBJ3li4AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-0554-3077,,"HBCUs, anti-racism, global learning, study abroad","College and University, Social justice, Race and ethnicity, Global perspectives"
